./jscatter/__init__.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,27,54,68,[27],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./jscatter/__init__.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",109,4,12,"[109, 110]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",487,8,20,[487],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",2250,12,20,"[2250, 2251]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",2254,12,20,"[2254, 2255]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",2258,12,20,"[2258, 2259]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",2262,12,20,"[2262, 2263]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",2534,8,19,[2534],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",2738,8,19,[2738],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",2856,12,23,[2856],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",2981,8,16,"[2981, 2982]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",3029,8,19,[3029],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",3236,16,24,"[3236, 3237]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",3290,20,28,"[3290, 3291]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",3295,16,24,"[3295, 3296]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",3308,12,23,[3308],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",3880,16,24,"[3880, 3881]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dataarray.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",3945,8,19,[3945],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dls.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,86,0,17,[86],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./jscatter/dls.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,94,8,48,"[94, 95, 96, 97, 98]",https://bandit.readthedocs.io/en/1.7.6/plugins/b607_start_process_with_partial_path.html
./jscatter/dls.py,subprocess_popen_with_shell_equals_true,B602,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,"subprocess call with shell=True seems safe, but may be changed in the future, consider rewriting without shell",94,8,48,"[94, 95, 96, 97, 98]",https://bandit.readthedocs.io/en/1.7.6/plugins/b602_subprocess_popen_with_shell_equals_true.html
./jscatter/dls.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",593,16,24,"[593, 594]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dls.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",605,12,20,"[605, 606]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dls.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",610,12,20,"[610, 611]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dls.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",615,12,20,"[615, 616]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dls.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",620,12,20,"[620, 621]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dls.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,https://cwe.mitre.org/data/definitions/78.html,"subprocess call with shell=True identified, security issue.",670,12,63,"[670, 671, 672, 673, 674]",https://bandit.readthedocs.io/en/1.7.6/plugins/b602_subprocess_popen_with_shell_equals_true.html
./jscatter/dls.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",889,8,16,"[889, 890]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dls.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",1155,8,20,[1155],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dls.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",1164,16,28,[1164],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dls.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",1169,8,20,[1169],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/dls.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",1174,12,23,[1174],https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/doc/source/conf.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,16,36,50,[16],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./jscatter/examples/__init__.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,71,31,48,[71],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
./jscatter/examples/example_fit_multicylinder.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",59,0,8,"[59, 60, 61]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/examples/example_grace3.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,7,16,31,[7],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b311-random
./jscatter/examples/example_inelasticNeutronScattering.py,blacklist,B310,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/22.html,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,16,11,38,[16],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b310-urllib-urlopen
./jscatter/examples/test_newRMSAAlgorithm.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",35,0,8,"[35, 36]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/examples/test_newRMSAAlgorithm.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",78,8,16,"[78, 79]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/examples/test_newRMSAAlgorithm.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",83,8,16,"[83, 84]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/formel.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,55,0,13,[55],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b403-import-pickle
./jscatter/formel.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",104,8,16,"[104, 105]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/formel.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",126,8,16,"[126, 127]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/formel.py,blacklist,B307,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of possibly insecure function - consider using safer ast.literal_eval.,346,10,42,[346],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b307-eval
./jscatter/formel.py,blacklist,B405,LOW,HIGH,https://cwe.mitre.org/data/definitions/20.html,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",1444,4,32,[1444],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b405-import-xml-etree
./jscatter/formel.py,blacklist,B314,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/20.html,Using xml.etree.ElementTree.parse to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.parse with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,1445,14,65,[1445],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_calls.html#b313-b320-xml-bad-elementtree
./jscatter/formel.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,2063,4,78,[2063],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./jscatter/formel.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,2091,4,78,[2091],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./jscatter/formfactor.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",762,4,12,"[762, 763]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/graceplot.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,141,0,17,[141],https://bandit.readthedocs.io/en/1.7.6/blacklists/blacklist_imports.html#b404-import-subprocess
./jscatter/graceplot.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",708,12,20,"[708, 709]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/graceplot.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",1131,28,36,"[1131, 1132]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./jscatter/graceplot.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,1507,25,17,"[1505, 1506, 1507, 1508]",https://bandit.readthedocs.io/en/1.7.6/plugins/b603_subprocess_without_shell_equals_true.html
./jscatter/mpl.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",154,16,28,"[154, 155]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
./setup.py,exec_used,B102,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/78.html,Use of exec detected.,8,44,58,[8],https://bandit.readthedocs.io/en/1.7.6/plugins/b102_exec_used.html
