./mdx_smartypants/spants.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '',563,27,29,[563],https://bandit.readthedocs.io/en/1.7.6/plugins/b105_hardcoded_password_string.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,31,4,43,[31],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,56,4,43,[56],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,62,4,30,[62],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,63,4,46,[63],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,68,4,30,[68],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,69,4,46,[69],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,74,4,30,[74],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,75,4,46,[75],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,83,4,46,[83],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,90,4,46,[90],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,95,4,46,[95],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,104,4,46,[104],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,110,4,46,[110],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,124,4,62,[124],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,130,4,62,[130],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,138,4,62,[138],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,144,4,62,[144],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,152,4,62,[152],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,159,4,62,[159],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,166,4,62,[166],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,183,4,46,[183],https://bandit.readthedocs.io/en/1.7.6/plugins/b101_assert_used.html
./test/test_spants.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",6,0,8,"[6, 7]",https://bandit.readthedocs.io/en/1.7.6/plugins/b110_try_except_pass.html
